GSM462878.CEL
1	61
2	4536
3	86
4	4673
5	64
6	42
7	4499
8	66
9	4415
10	62
11	4558
12	72
13	4600
14	67
15	4658
16	63
17	4685
18	59
19	4698
20	65
21	4577
22	66
23	4686
24	62
25	4639
26	76
27	4584
28	68
29	4661
30	64
31	4698
32	67
33	4838
34	68
35	4593
36	74
37	4843
38	80
39	4657
40	59
41	4620
42	63
43	4725
44	68
45	4668
46	66
47	4740
48	72
49	4706
50	62
51	4742
52	64
53	4834
54	68
55	4658
56	70
57	4729
58	64
59	4619
60	57
61	4865
62	68
63	4710
64	68
65	4730
66	67
67	4976
68	63
69	4902
70	62
71	4925
72	66
73	4839
74	64
75	4620
76	67
77	4761
78	61
79	4695
80	66
81	4551
82	70
83	4657
84	62
85	4676
86	62
87	4803
88	59
89	4661
90	67
91	4402
92	69
93	4692
94	62
95	4510
96	64
97	4636
98	66
99	4657
100	69
101	4624
102	67
103	4660
104	61
105	4782
106	64
107	4661
108	67
109	4884
110	64
111	4710
112	69
113	4649
114	57
115	4594
116	62
117	4714
118	55
119	4698
120	67
121	4513
122	68
123	4915
124	68
125	4721
126	69
127	4839
128	67
129	4773
130	73
131	4789
132	65
133	4888
134	69
135	4700
136	63
137	4907
138	63
139	4875
140	62
141	4816
142	71
143	4867
144	68
145	5024
146	64
147	4859
148	69
149	4861
150	75
151	4886
152	61
153	4960
154	65
155	4969
156	57
157	4957
158	67
159	4828
160	47
161	41
162	52
163	4863
164	60
165	5036
166	64
167	4741
168	65
169	4935
170	67
171	4711
172	70
173	4972
174	68
175	4835
176	64
177	4958
178	56
179	4927
180	61
181	4965
182	64
183	5003
184	65
185	4800
186	59
187	4827
188	85
189	5129
190	67
191	5016
192	66
193	4927
194	69
195	4835
196	68
197	5053
198	69
199	4932
200	65
201	5044
202	69
203	4951
204	63
205	4908
206	57
207	5019
208	64
209	4916
210	68
211	4873
212	73
213	4950
214	65
215	5085
216	72
217	5293
218	67
219	5014
220	72
221	4801
222	61
223	4894
224	62
225	4977
226	67
227	4931
228	76
229	5128
230	63
231	4945
232	58
233	4849
234	63
